"","SNU601_DMSO","SNU601_Ortho","SNU601_Para","SNU601_Meta","SNU216_DMSO","SNU216_Ortho","SNU216_Para","SNU216_Meta","SNU668_DMSO","SNU688_Ortho","SNU688_Para","SNU688_Meta","AGS_DMSO","AGS_Ortho","AGS_Para","AGS_Meta","MKN1_DMSO","MKN1_Ortho","MKN1_Para","MKN1_Meta"
"16919466",5.54143349515589,5.73409441607121,5.32913184188327,5.41549258333664,5.52033010005841,5.6808102882417,5.24473096513839,5.46713948298036,7.92761382844197,8.0162975420174,5.62599104415595,7.71478456226378,6.66474587617486,6.87245692482252,6.01425531940712,6.81931734007189,6.3143544044069,6.67974687301562,5.72415600220163,6.33360151379275
"16701238",3.07349624522486,2.68810501656397,2.71683136491342,3.02732893349584,7.27363021375003,7.37244834429291,6.39152040680772,7.58034691239902,2.85190102721929,2.84236318542471,3.60014426708083,2.74082294887219,2.87496299449031,2.49920780588708,2.65694862654622,2.82145464906908,6.48559720597638,6.40101081618198,6.44819313546578,6.4015001447338
"16798190",3.71924764661502,3.485611265825,3.1112955123873,3.55471079667072,2.39823001447718,2.74079859969455,2.86173505199921,2.89246408169088,3.88022955605117,3.71474816055155,2.86707010182894,3.23182100828589,3.52870918435505,3.90045504607894,3.73881847470657,3.39567148338263,2.45444331154543,2.47804222929559,3.51669978029204,3.12786448916829
"16798236",2.5549547031237,2.92491647639276,3.13331321460171,2.87943665862052,2.16659969918618,2.2635071214613,2.068003423829,2.08266461969684,2.91322526715749,2.99375068923063,2.90182276096062,2.76682303447003,2.97798255492425,3.46251027488599,3.22077138624341,2.62382509273805,2.04021229974514,2.20729248458438,2.44807336796028,2.64938718901823
"17126214",2.35640434923405,2.1612536699732,2.69680316590247,2.67291306341322,4.58750132956457,4.44489602545406,4.08906819863632,5.05744371239999,2.55875129147892,2.71497192954823,2.77295138896706,2.3104703745982,2.64184539559744,2.6037284562359,2.94980649279996,2.60007614282342,3.67207928496207,4.13321249763831,3.38801991262379,3.96545486396577
"16919673",6.16248894333429,6.00392159212613,6.16238113379267,5.88024340086933,6.47708222322243,6.45005715367545,7.16531690847892,6.56421547927576,5.40545020096832,5.77858074920865,6.54789144818651,5.78804205102174,5.79884689882282,5.94332652258249,5.92613467011118,5.8150188715449,6.64745442130075,6.6513156068624,6.75409627824411,6.73113115123895
"16712627",8.55305251199053,8.58286018741111,8.57639789844117,8.50957206984373,7.66396663208984,7.85183313871863,6.97551860213165,7.86348477012545,8.71273719488605,8.7951272427359,8.98782869159298,8.73895849198075,8.89675687521056,8.89029885826016,9.37207981187614,8.90691324614614,8.07575048307034,8.04593157344175,7.74459588543407,8.11089584439278
"16742106",6.34843955295703,5.86121545891374,3.99185703499837,5.4762845682226,3.9167861685951,3.77327818813908,3.87559650652265,3.61813349636151,3.7263518284832,3.71522720954904,4.10434332325771,3.69540286281738,5.23216870633257,4.58872186204182,4.01327055245946,4.871710930756,3.83114656092654,3.70606561009651,3.68670540314387,3.81630075263048
"16820463",4.47645833033596,4.44801453301355,4.27061041065593,4.5162633928983,10.1431677952852,10.1034137479595,6.85915534448647,9.90217009223552,4.46207534236027,4.80756621340453,4.31509453514867,4.66345995789633,4.38447374988826,4.58506091259069,4.81033886809971,4.81477387406786,5.43661779952872,5.28601777737819,4.90447970009043,5.4153385704973
"16854673",5.71642644077723,5.62365251985633,7.37846252476247,5.88272683130726,5.80336360196862,5.62315653469027,7.07090914885619,5.86848416500557,4.75272306416165,5.01892311137511,7.11321345575519,4.47712209512886,5.09212829370167,5.15616434332135,6.33750676221877,5.43626898880113,5.48382945342453,6.12289863932359,7.01389044730723,5.29248855872905
